Date,Open,High,Low,Close
12/31/2020,"0.23838%","0.23838%","0.23838%","0.23838%"
12/30/2020,"0.23750%","0.23750%","0.23750%","0.23750%"
12/29/2020,"0.25388%","0.25388%","0.25388%","0.25388%"
12/24/2020,"0.24013%","0.24013%","0.24013%","0.24013%"
12/23/2020,"0.25100%","0.25100%","0.25100%","0.25100%"
12/22/2020,"0.23813%","0.23813%","0.23813%","0.23813%"
12/21/2020,"0.24488%","0.24488%","0.24488%","0.24488%"
12/18/2020,"0.23575%","0.23575%","0.23575%","0.23575%"
12/17/2020,"0.23863%","0.23863%","0.23863%","0.23863%"
12/16/2020,"0.23638%","0.23638%","0.23638%","0.23638%"
12/15/2020,"0.22875%","0.22875%","0.22875%","0.22875%"
12/14/2020,"0.21925%","0.21925%","0.21925%","0.21925%"
12/11/2020,"0.21650%","0.21650%","0.21650%","0.21650%"
12/10/2020,"0.21950%","0.21950%","0.21950%","0.21950%"
12/09/2020,"0.22063%","0.22063%","0.22063%","0.22063%"
12/08/2020,"0.23000%","0.23000%","0.23000%","0.23000%"
12/07/2020,"0.23038%","0.23038%","0.23038%","0.23038%"
12/04/2020,"0.22588%","0.22588%","0.22588%","0.22588%"
12/03/2020,"0.22538%","0.22538%","0.22538%","0.22538%"
12/02/2020,"0.23050%","0.23050%","0.23050%","0.23050%"
12/01/2020,"0.23200%","0.23200%","0.23200%","0.23200%"
11/30/2020,"0.22763%","0.22763%","0.22763%","0.22763%"
11/27/2020,"0.22538%","0.22538%","0.22538%","0.22538%"
11/26/2020,"0.22438%","0.22438%","0.22438%","0.22438%"
11/25/2020,"0.23300%","0.23300%","0.23300%","0.23300%"
11/24/2020,"0.23225%","0.23225%","0.23225%","0.23225%"
11/23/2020,"0.20650%","0.20650%","0.20650%","0.20650%"
11/20/2020,"0.20488%","0.20488%","0.20488%","0.20488%"
11/19/2020,"0.21263%","0.21263%","0.21263%","0.21263%"
11/18/2020,"0.22375%","0.22375%","0.22375%","0.22375%"
11/17/2020,"0.23100%","0.23100%","0.23100%","0.23100%"
11/16/2020,"0.22038%","0.22038%","0.22038%","0.22038%"
11/13/2020,"0.22200%","0.22200%","0.22200%","0.22200%"
11/12/2020,"0.22100%","0.22100%","0.22100%","0.22100%"
11/11/2020,"0.22063%","0.22063%","0.22063%","0.22063%"
11/10/2020,"0.21363%","0.21363%","0.21363%","0.21363%"
11/09/2020,"0.20500%","0.20500%","0.20500%","0.20500%"
11/06/2020,"0.20588%","0.20588%","0.20588%","0.20588%"
11/05/2020,"0.21300%","0.21300%","0.21300%","0.21300%"
11/04/2020,"0.23225%","0.23225%","0.23225%","0.23225%"
11/03/2020,"0.22475%","0.22475%","0.22475%","0.22475%"
11/02/2020,"0.22013%","0.22013%","0.22013%","0.22013%"
10/30/2020,"0.21575%","0.21575%","0.21575%","0.21575%"
10/29/2020,"0.21438%","0.21438%","0.21438%","0.21438%"
10/28/2020,"0.21438%","0.21438%","0.21438%","0.21438%"
10/27/2020,"0.21325%","0.21325%","0.21325%","0.21325%"
10/26/2020,"0.22225%","0.22225%","0.22225%","0.22225%"
10/23/2020,"0.21650%","0.21650%","0.21650%","0.21650%"
10/22/2020,"0.21475%","0.21475%","0.21475%","0.21475%"
10/21/2020,"0.20913%","0.20913%","0.20913%","0.20913%"
10/20/2020,"0.21575%","0.21575%","0.21575%","0.21575%"
10/19/2020,"0.20863%","0.20863%","0.20863%","0.20863%"
10/16/2020,"0.21838%","0.21838%","0.21838%","0.21838%"
10/15/2020,"0.21775%","0.21775%","0.21775%","0.21775%"
10/14/2020,"0.23013%","0.23013%","0.23013%","0.23013%"
10/13/2020,"0.23688%","0.23688%","0.23688%","0.23688%"
10/12/2020,"0.22888%","0.22888%","0.22888%","0.22888%"
10/09/2020,"0.22413%","0.22413%","0.22413%","0.22413%"
10/08/2020,"0.22050%","0.22050%","0.22050%","0.22050%"
10/07/2020,"0.22950%","0.22950%","0.22950%","0.22950%"
10/06/2020,"0.22975%","0.22975%","0.22975%","0.22975%"
10/05/2020,"0.22025%","0.22025%","0.22025%","0.22025%"
10/02/2020,"0.23350%","0.23350%","0.23350%","0.23350%"
10/01/2020,"0.23400%","0.23400%","0.23400%","0.23400%"
09/30/2020,"0.23388%","0.23388%","0.23388%","0.23388%"
09/29/2020,"0.22513%","0.22513%","0.22513%","0.22513%"
09/28/2020,"0.22038%","0.22038%","0.22038%","0.22038%"
09/25/2020,"0.21788%","0.21788%","0.21788%","0.21788%"
09/24/2020,"0.23325%","0.23325%","0.23325%","0.23325%"
09/23/2020,"0.22500%","0.22500%","0.22500%","0.22500%"
09/22/2020,"0.22250%","0.22250%","0.22250%","0.22250%"
09/21/2020,"0.22325%","0.22325%","0.22325%","0.22325%"
09/18/2020,"0.22538%","0.22538%","0.22538%","0.22538%"
09/17/2020,"0.22738%","0.22738%","0.22738%","0.22738%"
09/16/2020,"0.23325%","0.23325%","0.23325%","0.23325%"
09/15/2020,"0.24613%","0.24613%","0.24613%","0.24613%"
09/14/2020,"0.23725%","0.23725%","0.23725%","0.23725%"
09/11/2020,"0.25038%","0.25038%","0.25038%","0.25038%"
09/10/2020,"0.24913%","0.24913%","0.24913%","0.24913%"
09/09/2020,"0.25025%","0.25025%","0.25025%","0.25025%"
09/08/2020,"0.24950%","0.24950%","0.24950%","0.24950%"
09/07/2020,"0.24175%","0.24175%","0.24175%","0.24175%"
09/04/2020,"0.24800%","0.24800%","0.24800%","0.24800%"
09/03/2020,"0.24950%","0.24950%","0.24950%","0.24950%"
09/02/2020,"0.25125%","0.25125%","0.25125%","0.25125%"
09/01/2020,"0.25113%","0.25113%","0.25113%","0.25113%"
08/31/2020,"0.24088%","0.24088%","0.24088%","0.24088%"
08/28/2020,"0.24088%","0.24088%","0.24088%","0.24088%"
08/27/2020,"0.24600%","0.24600%","0.24600%","0.24600%"
08/26/2020,"0.25588%","0.25588%","0.25588%","0.25588%"
08/25/2020,"0.25100%","0.25100%","0.25100%","0.25100%"
08/24/2020,"0.23375%","0.23375%","0.23375%","0.23375%"
08/21/2020,"0.25000%","0.25000%","0.25000%","0.25000%"
08/20/2020,"0.25613%","0.25613%","0.25613%","0.25613%"
08/19/2020,"0.24688%","0.24688%","0.24688%","0.24688%"
08/18/2020,"0.25300%","0.25300%","0.25300%","0.25300%"
08/17/2020,"0.26775%","0.26775%","0.26775%","0.26775%"
08/14/2020,"0.27038%","0.27038%","0.27038%","0.27038%"
08/13/2020,"0.28013%","0.28013%","0.28013%","0.28013%"
08/12/2020,"0.26475%","0.26475%","0.26475%","0.26475%"
08/11/2020,"0.25350%","0.25350%","0.25350%","0.25350%"
08/10/2020,"0.25688%","0.25688%","0.25688%","0.25688%"
08/07/2020,"0.25250%","0.25250%","0.25250%","0.25250%"
08/06/2020,"0.24325%","0.24325%","0.24325%","0.24325%"
08/05/2020,"0.24200%","0.24200%","0.24200%","0.24200%"
08/04/2020,"0.24850%","0.24850%","0.24850%","0.24850%"
08/03/2020,"0.24900%","0.24900%","0.24900%","0.24900%"
07/31/2020,"0.24875%","0.24875%","0.24875%","0.24875%"
07/30/2020,"0.25100%","0.25100%","0.25100%","0.25100%"
07/29/2020,"0.26063%","0.26063%","0.26063%","0.26063%"
07/28/2020,"0.26825%","0.26825%","0.26825%","0.26825%"
07/27/2020,"0.26963%","0.26963%","0.26963%","0.26963%"
07/24/2020,"0.24675%","0.24675%","0.24675%","0.24675%"
07/23/2020,"0.24450%","0.24450%","0.24450%","0.24450%"
07/22/2020,"0.26350%","0.26350%","0.26350%","0.26350%"
07/21/2020,"0.25550%","0.25550%","0.25550%","0.25550%"
07/20/2020,"0.25775%","0.25775%","0.25775%","0.25775%"
07/17/2020,"0.27138%","0.27138%","0.27138%","0.27138%"
07/16/2020,"0.27175%","0.27175%","0.27175%","0.27175%"
07/15/2020,"0.27288%","0.27288%","0.27288%","0.27288%"
07/14/2020,"0.27088%","0.27088%","0.27088%","0.27088%"
07/13/2020,"0.27500%","0.27500%","0.27500%","0.27500%"
07/10/2020,"0.26813%","0.26813%","0.26813%","0.26813%"
07/09/2020,"0.26625%","0.26625%","0.26625%","0.26625%"
07/08/2020,"0.27288%","0.27288%","0.27288%","0.27288%"
07/07/2020,"0.26838%","0.26838%","0.26838%","0.26838%"
07/06/2020,"0.27650%","0.27650%","0.27650%","0.27650%"
07/03/2020,"0.27588%","0.27588%","0.27588%","0.27588%"
07/02/2020,"0.30375%","0.30375%","0.30375%","0.30375%"
