Date,Open,High,Low,Close
07/01/2020,"0.29850%","0.29850%","0.29850%","0.29850%"
06/30/2020,"0.30200%","0.30200%","0.30200%","0.30200%"
06/29/2020,"0.29613%","0.29613%","0.29613%","0.29613%"
06/26/2020,"0.30788%","0.30788%","0.30788%","0.30788%"
06/25/2020,"0.30600%","0.30600%","0.30600%","0.30600%"
06/24/2020,"0.28375%","0.28375%","0.28375%","0.28375%"
06/23/2020,"0.29688%","0.29688%","0.29688%","0.29688%"
06/22/2020,"0.29663%","0.29663%","0.29663%","0.29663%"
06/19/2020,"0.30513%","0.30513%","0.30513%","0.30513%"
06/18/2020,"0.30638%","0.30638%","0.30638%","0.30638%"
06/17/2020,"0.31625%","0.31625%","0.31625%","0.31625%"
06/16/2020,"0.30788%","0.30788%","0.30788%","0.30788%"
06/15/2020,"0.29900%","0.29900%","0.29900%","0.29900%"
06/12/2020,"0.32088%","0.32088%","0.32088%","0.32088%"
06/11/2020,"0.31338%","0.31338%","0.31338%","0.31338%"
06/10/2020,"0.31838%","0.31838%","0.31838%","0.31838%"
06/09/2020,"0.31463%","0.31463%","0.31463%","0.31463%"
06/08/2020,"0.30975%","0.30975%","0.30975%","0.30975%"
06/05/2020,"0.31288%","0.31288%","0.31288%","0.31288%"
06/04/2020,"0.31763%","0.31763%","0.31763%","0.31763%"
06/03/2020,"0.32663%","0.32663%","0.32663%","0.32663%"
06/02/2020,"0.33050%","0.33050%","0.33050%","0.33050%"
06/01/2020,"0.33713%","0.33713%","0.33713%","0.33713%"
05/29/2020,"0.34400%","0.34400%","0.34400%","0.34400%"
05/28/2020,"0.35000%","0.35000%","0.35000%","0.35000%"
05/27/2020,"0.36250%","0.36250%","0.36250%","0.36250%"
05/26/2020,"0.37125%","0.37125%","0.37125%","0.37125%"
05/25/2020,"0.36925%","0.36925%","0.36925%","0.36925%"
05/22/2020,"0.36925%","0.36925%","0.36925%","0.36925%"
05/21/2020,"0.35950%","0.35950%","0.35950%","0.35950%"
05/20/2020,"0.35800%","0.35800%","0.35800%","0.35800%"
05/19/2020,"0.37413%","0.37413%","0.37413%","0.37413%"
05/18/2020,"0.37663%","0.37663%","0.37663%","0.37663%"
05/15/2020,"0.38050%","0.38050%","0.38050%","0.38050%"
05/14/2020,"0.38563%","0.38563%","0.38563%","0.38563%"
05/13/2020,"0.39238%","0.39238%","0.39238%","0.39238%"
05/12/2020,"0.42400%","0.42400%","0.42400%","0.42400%"
05/11/2020,"0.43350%","0.43350%","0.43350%","0.43350%"
05/08/2020,"0.43463%","0.43463%","0.43463%","0.43463%"
05/07/2020,"0.43463%","0.43463%","0.43463%","0.43463%"
05/06/2020,"0.44763%","0.44763%","0.44763%","0.44763%"
05/05/2020,"0.47400%","0.47400%","0.47400%","0.47400%"
05/04/2020,"0.50088%","0.50088%","0.50088%","0.50088%"
05/01/2020,"0.54088%","0.54088%","0.54088%","0.54088%"
04/30/2020,"0.55613%","0.55613%","0.55613%","0.55613%"
04/29/2020,"0.68663%","0.68663%","0.68663%","0.68663%"
04/28/2020,"0.76013%","0.76013%","0.76013%","0.76013%"
04/27/2020,"0.84075%","0.84075%","0.84075%","0.84075%"
04/24/2020,"0.88713%","0.88713%","0.88713%","0.88713%"
04/23/2020,"0.99138%","0.99138%","0.99138%","0.99138%"
04/22/2020,"1.02025%","1.02025%","1.02025%","1.02025%"
04/21/2020,"1.04300%","1.04300%","1.04300%","1.04300%"
04/20/2020,"1.09763%","1.09763%","1.09763%","1.09763%"
04/17/2020,"1.10900%","1.10900%","1.10900%","1.10900%"
04/16/2020,"1.13525%","1.13525%","1.13525%","1.13525%"
04/15/2020,"1.13488%","1.13488%","1.13488%","1.13488%"
04/14/2020,"1.17613%","1.17613%","1.17613%","1.17613%"
04/13/2020,"1.21888%","1.21888%","1.21888%","1.21888%"
04/10/2020,"1.21888%","1.21888%","1.21888%","1.21888%"
04/09/2020,"1.21888%","1.21888%","1.21888%","1.21888%"
04/08/2020,"1.31138%","1.31138%","1.31138%","1.31138%"
04/07/2020,"1.31988%","1.31988%","1.31988%","1.31988%"
04/06/2020,"1.35238%","1.35238%","1.35238%","1.35238%"
04/03/2020,"1.38738%","1.38738%","1.38738%","1.38738%"
04/02/2020,"1.37300%","1.37300%","1.37300%","1.37300%"
04/01/2020,"1.43650%","1.43650%","1.43650%","1.43650%"
03/31/2020,"1.45050%","1.45050%","1.45050%","1.45050%"
03/30/2020,"1.43338%","1.43338%","1.43338%","1.43338%"
03/27/2020,"1.45013%","1.45013%","1.45013%","1.45013%"
03/26/2020,"1.37463%","1.37463%","1.37463%","1.37463%"
03/25/2020,"1.26700%","1.26700%","1.26700%","1.26700%"
03/24/2020,"1.23238%","1.23238%","1.23238%","1.23238%"
03/23/2020,"1.21563%","1.21563%","1.21563%","1.21563%"
03/20/2020,"1.20413%","1.20413%","1.20413%","1.20413%"
03/19/2020,"1.19513%","1.19513%","1.19513%","1.19513%"
03/18/2020,"1.11575%","1.11575%","1.11575%","1.11575%"
03/17/2020,"1.05188%","1.05188%","1.05188%","1.05188%"
03/16/2020,"0.88938%","0.88938%","0.88938%","0.88938%"
03/13/2020,"0.84313%","0.84313%","0.84313%","0.84313%"
03/12/2020,"0.74050%","0.74050%","0.74050%","0.74050%"
03/11/2020,"0.77250%","0.77250%","0.77250%","0.77250%"
03/10/2020,"0.78413%","0.78413%","0.78413%","0.78413%"
03/09/2020,"0.76813%","0.76813%","0.76813%","0.76813%"
03/06/2020,"0.89600%","0.89600%","0.89600%","0.89600%"
03/05/2020,"0.99888%","0.99888%","0.99888%","0.99888%"
03/04/2020,"1.00063%","1.00063%","1.00063%","1.00063%"
03/03/2020,"1.31425%","1.31425%","1.31425%","1.31425%"
03/02/2020,"1.25375%","1.25375%","1.25375%","1.25375%"
02/28/2020,"1.46275%","1.46275%","1.46275%","1.46275%"
02/27/2020,"1.58038%","1.58038%","1.58038%","1.58038%"
02/26/2020,"1.61325%","1.61325%","1.61325%","1.61325%"
02/25/2020,"1.63763%","1.63763%","1.63763%","1.63763%"
02/24/2020,"1.64663%","1.64663%","1.64663%","1.64663%"
02/21/2020,"1.67925%","1.67925%","1.67925%","1.67925%"
02/20/2020,"1.68275%","1.68275%","1.68275%","1.68275%"
02/19/2020,"1.69600%","1.69600%","1.69600%","1.69600%"
02/18/2020,"1.69463%","1.69463%","1.69463%","1.69463%"
02/17/2020,"1.69288%","1.69288%","1.69288%","1.69288%"
02/14/2020,"1.69175%","1.69175%","1.69175%","1.69175%"
02/13/2020,"1.69163%","1.69163%","1.69163%","1.69163%"
02/12/2020,"1.70375%","1.70375%","1.70375%","1.70375%"
02/11/2020,"1.70725%","1.70725%","1.70725%","1.70725%"
02/10/2020,"1.71313%","1.71313%","1.71313%","1.71313%"
02/07/2020,"1.73088%","1.73088%","1.73088%","1.73088%"
02/06/2020,"1.73413%","1.73413%","1.73413%","1.73413%"
02/05/2020,"1.74163%","1.74163%","1.74163%","1.74163%"
02/04/2020,"1.73738%","1.73738%","1.73738%","1.73738%"
02/03/2020,"1.74100%","1.74100%","1.74100%","1.74100%"
01/31/2020,"1.75113%","1.75113%","1.75113%","1.75113%"
01/30/2020,"1.76325%","1.76325%","1.76325%","1.76325%"
01/29/2020,"1.77713%","1.77713%","1.77713%","1.77713%"
01/28/2020,"1.76950%","1.76950%","1.76950%","1.76950%"
01/27/2020,"1.77450%","1.77450%","1.77450%","1.77450%"
01/24/2020,"1.79538%","1.79538%","1.79538%","1.79538%"
01/23/2020,"1.79413%","1.79413%","1.79413%","1.79413%"
01/22/2020,"1.80088%","1.80088%","1.80088%","1.80088%"
01/21/2020,"1.80625%","1.80625%","1.80625%","1.80625%"
01/20/2020,"1.80213%","1.80213%","1.80213%","1.80213%"
01/17/2020,"1.81913%","1.81913%","1.81913%","1.81913%"
01/16/2020,"1.82663%","1.82663%","1.82663%","1.82663%"
01/15/2020,"1.83613%","1.83613%","1.83613%","1.83613%"
01/14/2020,"1.84263%","1.84263%","1.84263%","1.84263%"
01/13/2020,"1.83125%","1.83125%","1.83125%","1.83125%"
01/10/2020,"1.83775%","1.83775%","1.83775%","1.83775%"
01/09/2020,"1.84788%","1.84788%","1.84788%","1.84788%"
01/08/2020,"1.83400%","1.83400%","1.83400%","1.83400%"
01/07/2020,"1.87800%","1.87800%","1.87800%","1.87800%"
01/06/2020,"1.87225%","1.87225%","1.87225%","1.87225%"
01/03/2020,"1.87388%","1.87388%","1.87388%","1.87388%"
01/02/2020,"1.90025%","1.90025%","1.90025%","1.90025%"
