Date,Open,High,Low,Close
04/15/2022,"1.06271%","1.06271%","1.06271%","1.06271%"
04/14/2022,"1.06271%","1.06271%","1.06271%","1.06271%"
04/13/2022,"1.04429%","1.04429%","1.04429%","1.04429%"
04/12/2022,"1.03843%","1.03843%","1.03843%","1.03843%"
04/11/2022,"1.02143%","1.02143%","1.02143%","1.02143%"
04/08/2022,"1.01071%","1.01071%","1.01071%","1.01071%"
04/07/2022,"0.98886%","0.98886%","0.98886%","0.98886%"
04/06/2022,"0.98643%","0.98643%","0.98643%","0.98643%"
04/05/2022,"0.96657%","0.96657%","0.96657%","0.96657%"
04/04/2022,"0.96900%","0.96900%","0.96900%","0.96900%"
04/01/2022,"0.96200%","0.96200%","0.96200%","0.96200%"
03/31/2022,"0.96157%","0.96157%","0.96157%","0.96157%"
03/30/2022,"0.96686%","0.96686%","0.96686%","0.96686%"
03/29/2022,"1.00600%","1.00600%","1.00600%","1.00600%"
03/28/2022,"0.99629%","0.99629%","0.99629%","0.99629%"
03/25/2022,"0.98286%","0.98286%","0.98286%","0.98286%"
03/24/2022,"0.96557%","0.96557%","0.96557%","0.96557%"
03/23/2022,"0.96571%","0.96571%","0.96571%","0.96571%"
03/22/2022,"0.95371%","0.95371%","0.95371%","0.95371%"
03/21/2022,"0.95757%","0.95757%","0.95757%","0.95757%"
03/18/2022,"0.93400%","0.93400%","0.93400%","0.93400%"
03/17/2022,"0.92786%","0.92786%","0.92786%","0.92786%"
03/16/2022,"0.94814%","0.94814%","0.94814%","0.94814%"
03/15/2022,"0.91643%","0.91643%","0.91643%","0.91643%"
03/14/2022,"0.88471%","0.88471%","0.88471%","0.88471%"
03/11/2022,"0.82600%","0.82600%","0.82600%","0.82600%"
03/10/2022,"0.80286%","0.80286%","0.80286%","0.80286%"
03/09/2022,"0.74500%","0.74500%","0.74500%","0.74500%"
03/08/2022,"0.70300%","0.70300%","0.70300%","0.70300%"
03/07/2022,"0.64286%","0.64286%","0.64286%","0.64286%"
03/04/2022,"0.61014%","0.61014%","0.61014%","0.61014%"
03/03/2022,"0.58314%","0.58314%","0.58314%","0.58314%"
03/02/2022,"0.52214%","0.52214%","0.52214%","0.52214%"
03/01/2022,"0.51086%","0.51086%","0.51086%","0.51086%"
02/28/2022,"0.50429%","0.50429%","0.50429%","0.50429%"
02/25/2022,"0.52300%","0.52300%","0.52300%","0.52300%"
02/24/2022,"0.50786%","0.50786%","0.50786%","0.50786%"
02/23/2022,"0.49757%","0.49757%","0.49757%","0.49757%"
02/22/2022,"0.48786%","0.48786%","0.48786%","0.48786%"
02/21/2022,"0.46386%","0.46386%","0.46386%","0.46386%"
02/18/2022,"0.47957%","0.47957%","0.47957%","0.47957%"
02/17/2022,"0.48100%","0.48100%","0.48100%","0.48100%"
02/16/2022,"0.48814%","0.48814%","0.48814%","0.48814%"
02/15/2022,"0.46871%","0.46871%","0.46871%","0.46871%"
02/14/2022,"0.45857%","0.45857%","0.45857%","0.45857%"
02/11/2022,"0.50643%","0.50643%","0.50643%","0.50643%"
02/10/2022,"0.39486%","0.39486%","0.39486%","0.39486%"
02/09/2022,"0.37743%","0.37743%","0.37743%","0.37743%"
02/08/2022,"0.36629%","0.36629%","0.36629%","0.36629%"
02/07/2022,"0.36243%","0.36243%","0.36243%","0.36243%"
02/04/2022,"0.33900%","0.33900%","0.33900%","0.33900%"
02/03/2022,"0.31500%","0.31500%","0.31500%","0.31500%"
02/02/2022,"0.31057%","0.31057%","0.31057%","0.31057%"
02/01/2022,"0.30271%","0.30271%","0.30271%","0.30271%"
01/31/2022,"0.30886%","0.30886%","0.30886%","0.30886%"
01/28/2022,"0.31657%","0.31657%","0.31657%","0.31657%"
01/27/2022,"0.29900%","0.29900%","0.29900%","0.29900%"
01/26/2022,"0.27757%","0.27757%","0.27757%","0.27757%"
01/25/2022,"0.26757%","0.26757%","0.26757%","0.26757%"
01/24/2022,"0.26714%","0.26714%","0.26714%","0.26714%"
01/21/2022,"0.25771%","0.25771%","0.25771%","0.25771%"
01/20/2022,"0.25886%","0.25886%","0.25886%","0.25886%"
01/19/2022,"0.25514%","0.25514%","0.25514%","0.25514%"
01/18/2022,"0.25400%","0.25400%","0.25400%","0.25400%"
01/17/2022,"0.24800%","0.24800%","0.24800%","0.24800%"
01/14/2022,"0.24129%","0.24129%","0.24129%","0.24129%"
01/13/2022,"0.23914%","0.23914%","0.23914%","0.23914%"
01/12/2022,"0.23843%","0.23843%","0.23843%","0.23843%"
01/11/2022,"0.24443%","0.24443%","0.24443%","0.24443%"
01/10/2022,"0.23829%","0.23829%","0.23829%","0.23829%"
01/07/2022,"0.23614%","0.23614%","0.23614%","0.23614%"
01/06/2022,"0.23129%","0.23129%","0.23129%","0.23129%"
01/05/2022,"0.22557%","0.22557%","0.22557%","0.22557%"
01/04/2022,"0.21600%","0.21600%","0.21600%","0.21600%"
01/03/2022,"0.20913%","0.20913%","0.20913%","0.20913%"
12/31/2021,"0.20913%","0.20913%","0.20913%","0.20913%"
12/30/2021,"0.21438%","0.21438%","0.21438%","0.21438%"
12/29/2021,"0.22375%","0.22375%","0.22375%","0.22375%"
12/28/2021,"0.21788%","0.21788%","0.21788%","0.21788%"
12/27/2021,"0.21788%","0.21788%","0.21788%","0.21788%"
12/24/2021,"0.21788%","0.21788%","0.21788%","0.21788%"
12/23/2021,"0.21975%","0.21975%","0.21975%","0.21975%"
12/22/2021,"0.21138%","0.21138%","0.21138%","0.21138%"
12/21/2021,"0.21600%","0.21600%","0.21600%","0.21600%"
12/20/2021,"0.21425%","0.21425%","0.21425%","0.21425%"
12/17/2021,"0.21263%","0.21263%","0.21263%","0.21263%"
12/16/2021,"0.21363%","0.21363%","0.21363%","0.21363%"
12/15/2021,"0.21563%","0.21563%","0.21563%","0.21563%"
12/14/2021,"0.21088%","0.21088%","0.21088%","0.21088%"
12/13/2021,"0.20275%","0.20275%","0.20275%","0.20275%"
12/10/2021,"0.19825%","0.19825%","0.19825%","0.19825%"
12/09/2021,"0.20088%","0.20088%","0.20088%","0.20088%"
12/08/2021,"0.20050%","0.20050%","0.20050%","0.20050%"
12/07/2021,"0.19825%","0.19825%","0.19825%","0.19825%"
12/06/2021,"0.19000%","0.19000%","0.19000%","0.19000%"
12/03/2021,"0.18763%","0.18763%","0.18763%","0.18763%"
12/02/2021,"0.18013%","0.18013%","0.18013%","0.18013%"
12/01/2021,"0.17463%","0.17463%","0.17463%","0.17463%"
11/30/2021,"0.17325%","0.17325%","0.17325%","0.17325%"
11/29/2021,"0.17088%","0.17088%","0.17088%","0.17088%"
11/26/2021,"0.17538%","0.17538%","0.17538%","0.17538%"
11/25/2021,"0.17563%","0.17563%","0.17563%","0.17563%"
11/24/2021,"0.18025%","0.18025%","0.18025%","0.18025%"
11/23/2021,"0.17800%","0.17800%","0.17800%","0.17800%"
11/22/2021,"0.16963%","0.16963%","0.16963%","0.16963%"
11/19/2021,"0.16400%","0.16400%","0.16400%","0.16400%"
11/18/2021,"0.15963%","0.15963%","0.15963%","0.15963%"
11/17/2021,"0.15750%","0.15750%","0.15750%","0.15750%"
11/16/2021,"0.16000%","0.16000%","0.16000%","0.16000%"
11/15/2021,"0.15788%","0.15788%","0.15788%","0.15788%"
11/12/2021,"0.15500%","0.15500%","0.15500%","0.15500%"
11/11/2021,"0.15600%","0.15600%","0.15600%","0.15600%"
11/10/2021,"0.15438%","0.15438%","0.15438%","0.15438%"
11/09/2021,"0.14950%","0.14950%","0.14950%","0.14950%"
11/08/2021,"0.14563%","0.14563%","0.14563%","0.14563%"
11/05/2021,"0.14275%","0.14275%","0.14275%","0.14275%"
11/04/2021,"0.14438%","0.14438%","0.14438%","0.14438%"
11/03/2021,"0.13975%","0.13975%","0.13975%","0.13975%"
11/02/2021,"0.14500%","0.14500%","0.14500%","0.14500%"
11/01/2021,"0.14088%","0.14088%","0.14088%","0.14088%"
10/29/2021,"0.13225%","0.13225%","0.13225%","0.13225%"
10/28/2021,"0.13163%","0.13163%","0.13163%","0.13163%"
10/27/2021,"0.12863%","0.12863%","0.12863%","0.12863%"
10/26/2021,"0.13588%","0.13588%","0.13588%","0.13588%"
10/25/2021,"0.13450%","0.13450%","0.13450%","0.13450%"
10/22/2021,"0.12488%","0.12488%","0.12488%","0.12488%"
10/21/2021,"0.12388%","0.12388%","0.12388%","0.12388%"
10/20/2021,"0.12825%","0.12825%","0.12825%","0.12825%"
10/19/2021,"0.12950%","0.12950%","0.12950%","0.12950%"
10/18/2021,"0.13150%","0.13150%","0.13150%","0.13150%"
10/15/2021,"0.12363%","0.12363%","0.12363%","0.12363%"
10/14/2021,"0.12225%","0.12225%","0.12225%","0.12225%"
10/13/2021,"0.12375%","0.12375%","0.12375%","0.12375%"
10/12/2021,"0.12675%","0.12675%","0.12675%","0.12675%"
10/11/2021,"0.12175%","0.12175%","0.12175%","0.12175%"
10/08/2021,"0.12113%","0.12113%","0.12113%","0.12113%"
10/07/2021,"0.12363%","0.12363%","0.12363%","0.12363%"
10/06/2021,"0.12400%","0.12400%","0.12400%","0.12400%"
10/05/2021,"0.12400%","0.12400%","0.12400%","0.12400%"
10/04/2021,"0.12663%","0.12663%","0.12663%","0.12663%"
10/01/2021,"0.13313%","0.13313%","0.13313%","0.13313%"
09/30/2021,"0.13013%","0.13013%","0.13013%","0.13013%"
09/29/2021,"0.13088%","0.13088%","0.13088%","0.13088%"
09/28/2021,"0.13150%","0.13150%","0.13150%","0.13150%"
09/27/2021,"0.13175%","0.13175%","0.13175%","0.13175%"
09/24/2021,"0.13225%","0.13225%","0.13225%","0.13225%"
09/23/2021,"0.13225%","0.13225%","0.13225%","0.13225%"
09/22/2021,"0.12925%","0.12925%","0.12925%","0.12925%"
09/21/2021,"0.12838%","0.12838%","0.12838%","0.12838%"
09/20/2021,"0.12538%","0.12538%","0.12538%","0.12538%"
09/17/2021,"0.12388%","0.12388%","0.12388%","0.12388%"
09/16/2021,"0.12200%","0.12200%","0.12200%","0.12200%"
09/15/2021,"0.12000%","0.12000%","0.12000%","0.12000%"
09/14/2021,"0.11800%","0.11800%","0.11800%","0.11800%"
09/13/2021,"0.11600%","0.11600%","0.11600%","0.11600%"
09/10/2021,"0.11575%","0.11575%","0.11575%","0.11575%"
09/09/2021,"0.11413%","0.11413%","0.11413%","0.11413%"
09/08/2021,"0.11575%","0.11575%","0.11575%","0.11575%"
09/07/2021,"0.11600%","0.11600%","0.11600%","0.11600%"
09/06/2021,"0.11463%","0.11463%","0.11463%","0.11463%"
09/03/2021,"0.11550%","0.11550%","0.11550%","0.11550%"
09/02/2021,"0.11763%","0.11763%","0.11763%","0.11763%"
09/01/2021,"0.11888%","0.11888%","0.11888%","0.11888%"
08/31/2021,"0.11963%","0.11963%","0.11963%","0.11963%"
08/30/2021,"0.11988%","0.11988%","0.11988%","0.11988%"
08/27/2021,"0.11988%","0.11988%","0.11988%","0.11988%"
08/26/2021,"0.12075%","0.12075%","0.12075%","0.12075%"
08/25/2021,"0.12375%","0.12375%","0.12375%","0.12375%"
08/24/2021,"0.12175%","0.12175%","0.12175%","0.12175%"
08/23/2021,"0.12925%","0.12925%","0.12925%","0.12925%"
08/20/2021,"0.12838%","0.12838%","0.12838%","0.12838%"
08/19/2021,"0.13075%","0.13075%","0.13075%","0.13075%"
08/18/2021,"0.13088%","0.13088%","0.13088%","0.13088%"
08/17/2021,"0.12725%","0.12725%","0.12725%","0.12725%"
08/16/2021,"0.12450%","0.12450%","0.12450%","0.12450%"
08/13/2021,"0.12425%","0.12425%","0.12425%","0.12425%"
08/12/2021,"0.12475%","0.12475%","0.12475%","0.12475%"
08/11/2021,"0.12125%","0.12125%","0.12125%","0.12125%"
08/10/2021,"0.12275%","0.12275%","0.12275%","0.12275%"
08/09/2021,"0.12725%","0.12725%","0.12725%","0.12725%"
08/06/2021,"0.12838%","0.12838%","0.12838%","0.12838%"
08/05/2021,"0.12538%","0.12538%","0.12538%","0.12538%"
08/04/2021,"0.12175%","0.12175%","0.12175%","0.12175%"
08/03/2021,"0.12138%","0.12138%","0.12138%","0.12138%"
08/02/2021,"0.12375%","0.12375%","0.12375%","0.12375%"
07/30/2021,"0.11775%","0.11775%","0.11775%","0.11775%"
07/29/2021,"0.12575%","0.12575%","0.12575%","0.12575%"
07/28/2021,"0.12850%","0.12850%","0.12850%","0.12850%"
07/27/2021,"0.12963%","0.12963%","0.12963%","0.12963%"
07/26/2021,"0.13163%","0.13163%","0.13163%","0.13163%"
07/23/2021,"0.12888%","0.12888%","0.12888%","0.12888%"
07/22/2021,"0.12525%","0.12525%","0.12525%","0.12525%"
07/21/2021,"0.13788%","0.13788%","0.13788%","0.13788%"
07/20/2021,"0.13825%","0.13825%","0.13825%","0.13825%"
07/19/2021,"0.13425%","0.13425%","0.13425%","0.13425%"
07/16/2021,"0.13425%","0.13425%","0.13425%","0.13425%"
07/15/2021,"0.13388%","0.13388%","0.13388%","0.13388%"
07/14/2021,"0.12638%","0.12638%","0.12638%","0.12638%"
07/13/2021,"0.12613%","0.12613%","0.12613%","0.12613%"
07/12/2021,"0.13288%","0.13288%","0.12863%","0.13288%"
07/09/2021,"0.12863%","0.12863%","0.12863%","0.12863%"
07/08/2021,"0.11900%","0.11900%","0.11900%","0.11900%"
07/07/2021,"0.12388%","0.12388%","0.12388%","0.12388%"
07/06/2021,"0.13488%","0.13488%","0.13488%","0.13488%"
07/05/2021,"0.13800%","0.13800%","0.13800%","0.13800%"
07/02/2021,"0.13788%","0.13788%","0.13788%","0.13788%"
07/01/2021,"0.14475%","0.14475%","0.14475%","0.14475%"
