Date,Open,High,Low,Close
06/10/2019,"2.43575%","2.43575%","2.43575%","2.43575%"
06/07/2019,"2.45063%","2.45063%","2.45063%","2.45063%"
06/06/2019,"2.45300%","2.45300%","2.45300%","2.45300%"
06/05/2019,"2.47163%","2.47163%","2.47163%","2.47163%"
06/04/2019,"2.47438%","2.47438%","2.47438%","2.47438%"
06/03/2019,"2.47850%","2.47850%","2.47850%","2.47850%"
05/31/2019,"2.50250%","2.50250%","2.50250%","2.50250%"
05/30/2019,"2.52025%","2.52025%","2.52025%","2.52025%"
05/29/2019,"2.52175%","2.52175%","2.52175%","2.52175%"
05/28/2019,"2.52375%","2.52375%","2.52375%","2.52375%"
05/24/2019,"2.52488%","2.52488%","2.52488%","2.52488%"
05/23/2019,"2.52063%","2.52063%","2.52063%","2.52063%"
05/22/2019,"2.52475%","2.52475%","2.52475%","2.52475%"
05/21/2019,"2.52350%","2.52350%","2.52350%","2.52350%"
05/20/2019,"2.52338%","2.52338%","2.52338%","2.52338%"
05/17/2019,"2.52188%","2.52188%","2.52188%","2.52188%"
05/16/2019,"2.51963%","2.51963%","2.51963%","2.51963%"
05/15/2019,"2.52513%","2.52513%","2.52513%","2.52513%"
05/14/2019,"2.52450%","2.52450%","2.52450%","2.52450%"
05/13/2019,"2.51800%","2.51800%","2.51800%","2.51800%"
05/10/2019,"2.52788%","2.52788%","2.52788%","2.52788%"
05/09/2019,"2.53525%","2.53525%","2.53525%","2.53525%"
05/08/2019,"2.54513%","2.54513%","2.54513%","2.54513%"
05/07/2019,"2.56200%","2.56200%","2.56200%","2.56200%"
05/03/2019,"2.55988%","2.55988%","2.55988%","2.55988%"
05/02/2019,"2.56513%","2.56513%","2.56513%","2.56513%"
05/01/2019,"2.57550%","2.57550%","2.57550%","2.57550%"
04/30/2019,"2.57563%","2.57563%","2.57563%","2.57563%"
04/29/2019,"2.57900%","2.57900%","2.57900%","2.57900%"
04/28/2019,"2.58275%","2.58275%","2.58275%","2.58275%"
04/26/2019,"2.58275%","2.58275%","2.58275%","2.58275%"
04/25/2019,"2.58238%","2.58238%","2.58238%","2.58238%"
04/24/2019,"2.58638%","2.58638%","2.58638%","2.58638%"
04/23/2019,"2.58025%","2.58025%","2.58025%","2.58025%"
04/22/2019,"2.58113%","2.58113%","2.58113%","2.58113%"
04/18/2019,"2.58113%","2.58113%","2.58113%","2.58113%"
04/17/2019,"2.59150%","2.59150%","2.59150%","2.59150%"
04/16/2019,"2.60088%","2.60088%","2.60088%","2.60088%"
04/15/2019,"2.58800%","2.58800%","2.58800%","2.58800%"
04/14/2019,"2.60100%","2.60100%","2.60100%","2.60100%"
04/12/2019,"2.60100%","2.60100%","2.60100%","2.60100%"
04/11/2019,"2.59675%","2.59675%","2.59675%","2.59675%"
04/10/2019,"2.60350%","2.60350%","2.60350%","2.60350%"
04/09/2019,"2.58125%","2.58125%","2.58125%","2.58125%"
04/08/2019,"2.58400%","2.58400%","2.58400%","2.58400%"
04/05/2019,"2.59213%","2.59213%","2.59213%","2.59213%"
04/04/2019,"2.58863%","2.58863%","2.58863%","2.58863%"
04/03/2019,"2.59775%","2.59775%","2.59775%","2.59775%"
04/02/2019,"2.60238%","2.60238%","2.60238%","2.60238%"
04/01/2019,"2.59550%","2.59550%","2.59550%","2.59550%"
03/29/2019,"2.59975%","2.59975%","2.59975%","2.59975%"
03/28/2019,"2.59175%","2.59175%","2.59175%","2.59175%"
03/27/2019,"2.60100%","2.60100%","2.60100%","2.60100%"
03/26/2019,"2.59738%","2.59738%","2.59738%","2.59738%"
03/25/2019,"2.60875%","2.60875%","2.60875%","2.60875%"
03/22/2019,"2.60988%","2.60988%","2.60988%","2.60988%"
03/21/2019,"2.60150%","2.60150%","2.60150%","2.60150%"
03/20/2019,"2.60700%","2.60700%","2.60700%","2.60700%"
03/19/2019,"2.61275%","2.61275%","2.61275%","2.61275%"
03/18/2019,"2.63263%","2.63263%","2.63263%","2.63263%"
03/15/2019,"2.62525%","2.62525%","2.62525%","2.62525%"
03/14/2019,"2.61463%","2.61463%","2.61463%","2.61463%"
03/13/2019,"2.61088%","2.61088%","2.61088%","2.61088%"
03/12/2019,"2.59325%","2.59325%","2.59325%","2.59325%"
03/11/2019,"2.60825%","2.60825%","2.60825%","2.60825%"
03/08/2019,"2.59663%","2.59663%","2.59663%","2.59663%"
03/07/2019,"2.60063%","2.60063%","2.60063%","2.60063%"
03/06/2019,"2.59450%","2.59450%","2.59450%","2.59450%"
03/05/2019,"2.60663%","2.60663%","2.60663%","2.60663%"
03/04/2019,"2.60763%","2.60763%","2.60763%","2.60763%"
03/03/2019,"2.59850%","2.59850%","2.59850%","2.59850%"
03/01/2019,"2.59850%","2.59850%","2.59850%","2.59850%"
02/28/2019,"2.61513%","2.61513%","2.61513%","2.61513%"
02/27/2019,"2.62613%","2.62613%","2.62613%","2.62613%"
02/26/2019,"2.62888%","2.62888%","2.62888%","2.62888%"
02/25/2019,"2.63863%","2.63863%","2.63863%","2.63863%"
02/22/2019,"2.64625%","2.64625%","2.64625%","2.64625%"
02/21/2019,"2.65100%","2.65100%","2.65100%","2.65100%"
02/20/2019,"2.66338%","2.66338%","2.66338%","2.66338%"
02/19/2019,"2.64125%","2.64125%","2.64125%","2.64125%"
02/18/2019,"2.64363%","2.64363%","2.64363%","2.64363%"
02/17/2019,"2.68288%","2.68288%","2.68288%","2.68288%"
02/15/2019,"2.68288%","2.68288%","2.68288%","2.68288%"
02/14/2019,"2.69388%","2.69388%","2.69388%","2.69388%"
02/13/2019,"2.68375%","2.68375%","2.68375%","2.68375%"
02/12/2019,"2.69288%","2.69288%","2.69288%","2.69288%"
02/11/2019,"2.68800%","2.68800%","2.68800%","2.68800%"
02/08/2019,"2.69775%","2.69775%","2.69775%","2.69775%"
02/07/2019,"2.69700%","2.69700%","2.69700%","2.69700%"
02/06/2019,"2.73763%","2.73763%","2.73763%","2.73763%"
02/05/2019,"2.73850%","2.73850%","2.73850%","2.73850%"
02/04/2019,"2.73438%","2.73438%","2.73438%","2.73438%"
02/01/2019,"2.73263%","2.73263%","2.73263%","2.73263%"
01/31/2019,"2.73750%","2.73750%","2.73750%","2.73750%"
01/30/2019,"2.73625%","2.73625%","2.73625%","2.73625%"
01/29/2019,"2.74438%","2.74438%","2.74438%","2.74438%"
01/28/2019,"2.75050%","2.75050%","2.75050%","2.75050%"
01/25/2019,"2.75163%","2.75163%","2.75163%","2.75163%"
01/24/2019,"2.76475%","2.76475%","2.76475%","2.76475%"
01/23/2019,"2.77063%","2.77063%","2.77063%","2.77063%"
01/22/2019,"2.77925%","2.77925%","2.77925%","2.77925%"
01/21/2019,"2.77238%","2.77238%","2.77238%","2.77238%"
01/18/2019,"2.76100%","2.76100%","2.76100%","2.76100%"
01/17/2019,"2.77575%","2.77575%","2.77575%","2.77575%"
01/16/2019,"2.78031%","2.78031%","2.78031%","2.78031%"
01/15/2019,"2.77344%","2.77344%","2.77344%","2.77344%"
01/14/2019,"2.77894%","2.77894%","2.77894%","2.77894%"
01/11/2019,"2.78731%","2.78731%","2.78731%","2.78731%"
01/10/2019,"2.79694%","2.79694%","2.79694%","2.79694%"
01/09/2019,"2.79888%","2.79888%","2.79888%","2.79888%"
01/08/2019,"2.78250%","2.78250%","2.78250%","2.78250%"
01/07/2019,"2.79681%","2.79681%","2.79681%","2.79681%"
01/06/2019,"2.80388%","2.80388%","2.80388%","2.80388%"
01/04/2019,"2.80388%","2.80388%","2.80388%","2.80388%"
01/03/2019,"2.79500%","2.79500%","2.79500%","2.79500%"
01/02/2019,"2.79388%","2.79388%","2.79388%","2.79388%"
