Date,Open,High,Low,Close
12/31/2019,"1.90838%","1.90838%","1.90838%","1.90838%"
12/30/2019,"1.90938%","1.90938%","1.90938%","1.90938%"
12/27/2019,"1.94463%","1.94463%","1.94463%","1.94463%"
12/26/2019,"1.96050%","1.96050%","1.96050%","1.96050%"
12/24/2019,"1.96050%","1.96050%","1.96050%","1.96050%"
12/23/2019,"1.94663%","1.94663%","1.94663%","1.94663%"
12/20/2019,"1.93475%","1.93475%","1.93475%","1.93475%"
12/19/2019,"1.92775%","1.92775%","1.92775%","1.92775%"
12/18/2019,"1.90800%","1.90800%","1.90800%","1.90800%"
12/17/2019,"1.90250%","1.90250%","1.90250%","1.90250%"
12/16/2019,"1.89850%","1.89850%","1.89850%","1.89850%"
12/13/2019,"1.89963%","1.89963%","1.89963%","1.89963%"
12/12/2019,"1.89363%","1.89363%","1.89363%","1.89363%"
12/11/2019,"1.88738%","1.88738%","1.88738%","1.88738%"
12/10/2019,"1.88725%","1.88725%","1.88725%","1.88725%"
12/09/2019,"1.88838%","1.88838%","1.88838%","1.88838%"
12/06/2019,"1.89050%","1.89050%","1.89050%","1.89050%"
12/05/2019,"1.88500%","1.88500%","1.88500%","1.88500%"
12/04/2019,"1.88713%","1.88713%","1.88713%","1.88713%"
12/03/2019,"1.89150%","1.89150%","1.89150%","1.89150%"
12/02/2019,"1.90013%","1.90013%","1.90013%","1.90013%"
11/29/2019,"1.90550%","1.90550%","1.90550%","1.90550%"
11/28/2019,"1.90688%","1.90688%","1.90688%","1.90688%"
11/27/2019,"1.91375%","1.91375%","1.91375%","1.91375%"
11/26/2019,"1.90863%","1.90863%","1.90863%","1.90863%"
11/25/2019,"1.91863%","1.91863%","1.91863%","1.91863%"
11/22/2019,"1.91725%","1.91725%","1.91725%","1.91725%"
11/21/2019,"1.90950%","1.90950%","1.90950%","1.90950%"
11/20/2019,"1.89875%","1.89875%","1.89875%","1.89875%"
11/19/2019,"1.89463%","1.89463%","1.89463%","1.89463%"
11/18/2019,"1.89850%","1.89850%","1.89850%","1.89850%"
11/15/2019,"1.90263%","1.90263%","1.90263%","1.90263%"
11/14/2019,"1.90413%","1.90413%","1.90413%","1.90413%"
11/13/2019,"1.90988%","1.90988%","1.90988%","1.90988%"
11/12/2019,"1.90925%","1.90925%","1.90925%","1.90925%"
11/11/2019,"1.90463%","1.90463%","1.90463%","1.90463%"
11/08/2019,"1.90063%","1.90063%","1.90063%","1.90063%"
11/07/2019,"1.90138%","1.90138%","1.90138%","1.90138%"
11/06/2019,"1.90425%","1.90425%","1.90425%","1.90425%"
11/05/2019,"1.89350%","1.89350%","1.89350%","1.89350%"
11/04/2019,"1.90825%","1.90825%","1.90825%","1.90825%"
11/01/2019,"1.89050%","1.89050%","1.89050%","1.89050%"
10/31/2019,"1.90225%","1.90225%","1.90225%","1.90225%"
10/30/2019,"1.90913%","1.90913%","1.90913%","1.90913%"
10/29/2019,"1.92713%","1.92713%","1.92713%","1.92713%"
10/28/2019,"1.93550%","1.93550%","1.93550%","1.93550%"
10/25/2019,"1.92813%","1.92813%","1.92813%","1.92813%"
10/24/2019,"1.93563%","1.93563%","1.93563%","1.93563%"
10/23/2019,"1.93963%","1.93963%","1.93963%","1.93963%"
10/22/2019,"1.93600%","1.93600%","1.93600%","1.93600%"
10/21/2019,"1.93400%","1.93400%","1.93400%","1.93400%"
10/18/2019,"1.95325%","1.95325%","1.95325%","1.95325%"
10/17/2019,"1.96588%","1.96588%","1.96588%","1.96588%"
10/16/2019,"2.00325%","2.00325%","2.00325%","2.00325%"
10/15/2019,"2.00213%","2.00213%","2.00213%","2.00213%"
10/14/2019,"2.00088%","2.00088%","2.00088%","2.00088%"
10/11/2019,"2.00088%","2.00088%","2.00088%","2.00088%"
10/10/2019,"1.98613%","1.98613%","1.98613%","1.98613%"
10/09/2019,"1.98425%","1.98425%","1.98425%","1.98425%"
10/08/2019,"2.00950%","2.00950%","2.00950%","2.00950%"
10/07/2019,"2.01200%","2.01200%","2.01200%","2.01200%"
10/04/2019,"2.02700%","2.02700%","2.02700%","2.02700%"
10/03/2019,"2.04313%","2.04313%","2.04313%","2.04313%"
10/02/2019,"2.05638%","2.05638%","2.05638%","2.05638%"
10/01/2019,"2.08863%","2.08863%","2.08863%","2.08863%"
09/30/2019,"2.08513%","2.08513%","2.08513%","2.08513%"
09/27/2019,"2.09863%","2.09863%","2.09863%","2.09863%"
09/26/2019,"2.10438%","2.10438%","2.10438%","2.10438%"
09/25/2019,"2.09963%","2.09963%","2.09963%","2.09963%"
09/24/2019,"2.11300%","2.11300%","2.11300%","2.11300%"
09/23/2019,"2.10625%","2.10625%","2.10625%","2.10625%"
09/20/2019,"2.13463%","2.13463%","2.13463%","2.13463%"
09/19/2019,"2.15888%","2.15888%","2.15888%","2.15888%"
09/18/2019,"2.15588%","2.15588%","2.15588%","2.15588%"
09/17/2019,"2.16413%","2.16413%","2.16413%","2.16413%"
09/16/2019,"2.14513%","2.14513%","2.14513%","2.14513%"
09/13/2019,"2.13938%","2.13938%","2.13938%","2.13938%"
09/12/2019,"2.11850%","2.11850%","2.11850%","2.11850%"
09/11/2019,"2.12725%","2.12725%","2.12725%","2.12725%"
09/10/2019,"2.13163%","2.13163%","2.13163%","2.13163%"
09/09/2019,"2.13838%","2.13838%","2.13838%","2.13838%"
09/06/2019,"2.13413%","2.13413%","2.13413%","2.13413%"
09/05/2019,"2.10213%","2.10213%","2.10213%","2.10213%"
09/04/2019,"2.11238%","2.11238%","2.11238%","2.11238%"
09/03/2019,"2.12663%","2.12663%","2.12663%","2.12663%"
09/02/2019,"2.13275%","2.13275%","2.13275%","2.13275%"
08/30/2019,"2.13763%","2.13763%","2.13763%","2.13763%"
08/29/2019,"2.13175%","2.13175%","2.13175%","2.13175%"
08/28/2019,"2.12413%","2.12413%","2.12413%","2.12413%"
08/27/2019,"2.11738%","2.11738%","2.11738%","2.11738%"
08/26/2019,"2.14438%","2.14438%","2.14438%","2.14438%"
08/23/2019,"2.14438%","2.14438%","2.14438%","2.14438%"
08/22/2019,"2.13225%","2.13225%","2.13225%","2.13225%"
08/21/2019,"2.14763%","2.14763%","2.14763%","2.14763%"
08/20/2019,"2.14950%","2.14950%","2.14950%","2.14950%"
08/19/2019,"2.15150%","2.15150%","2.15150%","2.15150%"
08/16/2019,"2.13588%","2.13588%","2.13588%","2.13588%"
08/15/2019,"2.12375%","2.12375%","2.12375%","2.12375%"
08/14/2019,"2.16838%","2.16838%","2.16838%","2.16838%"
08/13/2019,"2.15813%","2.15813%","2.15813%","2.15813%"
08/12/2019,"2.17525%","2.17525%","2.17525%","2.17525%"
08/09/2019,"2.17563%","2.17563%","2.17563%","2.17563%"
08/08/2019,"2.18100%","2.18100%","2.18100%","2.18100%"
08/07/2019,"2.18450%","2.18450%","2.18450%","2.18450%"
08/06/2019,"2.18700%","2.18700%","2.18700%","2.18700%"
08/05/2019,"2.20900%","2.20900%","2.20900%","2.20900%"
08/02/2019,"2.23925%","2.23925%","2.23925%","2.23925%"
08/01/2019,"2.28675%","2.28675%","2.28675%","2.28675%"
07/31/2019,"2.26563%","2.26563%","2.26563%","2.26563%"
07/30/2019,"2.25313%","2.25313%","2.25313%","2.25313%"
07/29/2019,"2.25550%","2.25550%","2.25550%","2.25550%"
07/26/2019,"2.26575%","2.26575%","2.26575%","2.26575%"
07/25/2019,"2.25575%","2.25575%","2.25575%","2.25575%"
07/24/2019,"2.26663%","2.26663%","2.26663%","2.26663%"
07/23/2019,"2.27550%","2.27550%","2.27550%","2.27550%"
07/22/2019,"2.28275%","2.28275%","2.28275%","2.28275%"
07/19/2019,"2.25938%","2.25938%","2.25938%","2.25938%"
07/18/2019,"2.27763%","2.27763%","2.27763%","2.27763%"
07/17/2019,"2.30250%","2.30250%","2.30250%","2.30250%"
07/16/2019,"2.29963%","2.29963%","2.29963%","2.29963%"
07/15/2019,"2.30325%","2.30325%","2.30325%","2.30325%"
07/12/2019,"2.32225%","2.32225%","2.32225%","2.32225%"
07/11/2019,"2.30338%","2.30338%","2.30338%","2.30338%"
07/10/2019,"2.33950%","2.33950%","2.33950%","2.33950%"
07/09/2019,"2.34075%","2.34075%","2.34075%","2.34075%"
07/08/2019,"2.33775%","2.33775%","2.33775%","2.33775%"
07/05/2019,"2.31138%","2.31138%","2.31138%","2.31138%"
07/04/2019,"2.30263%","2.30263%","2.30263%","2.30263%"
07/03/2019,"2.28850%","2.28850%","2.28850%","2.28850%"
07/02/2019,"2.31300%","2.31300%","2.31300%","2.31300%"
07/01/2019,"2.33188%","2.33188%","2.33188%","2.33188%"
06/28/2019,"2.31988%","2.31988%","2.31988%","2.31988%"
06/27/2019,"2.31888%","2.31888%","2.31888%","2.31888%"
06/26/2019,"2.32988%","2.32988%","2.32988%","2.32988%"
06/25/2019,"2.31125%","2.31125%","2.31125%","2.31125%"
06/24/2019,"2.33288%","2.33288%","2.33288%","2.33288%"
06/21/2019,"2.34925%","2.34925%","2.34925%","2.34925%"
06/20/2019,"2.34313%","2.34313%","2.34313%","2.34313%"
06/19/2019,"2.38613%","2.38613%","2.38613%","2.38613%"
06/18/2019,"2.38663%","2.38663%","2.38663%","2.38663%"
06/17/2019,"2.41850%","2.41850%","2.41850%","2.41850%"
06/14/2019,"2.40200%","2.40200%","2.40200%","2.40200%"
06/13/2019,"2.41025%","2.41025%","2.41025%","2.41025%"
06/12/2019,"2.42788%","2.42788%","2.42788%","2.42788%"
06/11/2019,"2.44950%","2.44950%","2.44950%","2.44950%"
